,English Name,French Name,FAA
0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres,1
1,Department of Agriculture and Agri-Food,Ministère de l’Agriculture et de l’Agroalimentaire,1
2,Department of Canadian Heritage,Ministère du Patrimoine canadien,1
3,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,1
4,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1
5,Department of Employment and Social Development,Ministère de l’Emploi et du Développement social,1
6,Department of Finance,Ministère des Finances,1
7,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,1
8,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1
9,Department of Health,Ministère de la Santé,1
10,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",1
11,Department of Indigenous Services,Ministère des Services aux Autochtones,1
12,Department of Industry,Ministère de l’Industrie,1
13,Department of Justice,Ministère de la Justice,1
14,Department of National Defence,Ministère de la Défense nationale,1
15,Department of Natural Resources,Ministère des Ressources naturelles,1
16,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,1
17,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,1
18,Department of the Environment,Ministère de l’Environnement,1
19,Department of Transport,Ministère des Transports,1
20,Treasury Board,Conseil du Trésor,1
21,Department of Veterans Affairs,Ministère des Anciens Combattants,1
22,Department of Western Economic Diversification,Ministère de la Diversification de l’économie de l’Ouest canadien,1
